,100031,4,"MS",01:44.3,,,,"h",,,,"out","Christchurch",1962-02-03
,100032,4,"MS",01:44.92,,,,,,,,"out","Christchurch",1974-01-29
,100020,4,"MS",01:45.45,,,,,,,,"out","Sydney, AUS",1998-02-28
,504638,4,"MS",01:45.54,,,,,,,,"out","Heusden, BEL",2004-07-31
,100033,4,"MS",01:45.9,,,,"h",,,,"out","Melboune",1984-03-22
,100034,4,"MS",01:46.15,,,,,,,,"out","Stuttgart, GER",1997-07-13
,501158,4,"MS",01:46.19,,,,,,,,"out","Heusden, BEL",2005-07-23
,100035,4,"MS",01:46.48,,,,,,,,"out","Linz, AUT",1996-08-21
,100036,4,"MS",01:47.04,,,,,,,,"out","Beijing, CHN",2001-08-31
,100037,4,"MS",01:47.1,,,,"h",,,,"out","Auckland",1978-03-18
,100038,4,"MS",01:48.1,,,,"y",,,,"out","Dublin, IRL",1961-07-17
,516136,4,"MS",01:47.45,,,,,,,,"out","Cuxhaven, GER",2005-07-09
,100027,4,"MS",01:47.57,,,,,,,,"out","Brisbane, AUS",1982-03-20
,100040,4,"MS",01:47.6,,,,"h",,,,"out","Rome, ITA",1973-09-15
,100041,4,"MS",01:47.7,,,,"h",,,,"out","Auckland",1972-03-18
,503839,4,"MS",01:48.0,,,,"h",,,,"out","Sydney, AUS",1978-05-20
,100042,4,"MS",01:48.17,,,,,,,,"out","Papakura",2000-01-26
,100043,4,"MS",01:48.2,,,,"h",,,,"out","Dunedin",1971-03-13
,100044,4,"MS",01:48.22,,,,,,,,"out","Papakura",1999-01-20
,100045,4,"MS",01:48.24,,,,,,,,"out","Tempe, USA",1999-04-10
