,100048,11,"MS",27:41.95,,,,,,,,"out","London, GBR",1977-09-09
,504662,11,"MS",27:42.17,,,,,,,,"out","Villeneuve d'Ascq, FRA",1996-05-25
,505010,11,"MS",27:45.98,,,,,,,,"out","Palo Alto, USA",2004-04-30
,504019,11,"MS",27:46.37,,,,,,,,"out","Palo Alto, USA",2007-04-29
,100057,11,"MS",27:46.40,,,,,,,,"out","Christchurch",1974-01-25
,503791,11,"MS",27:56.80,,,,,,,,"out","Inglewood",2003-02-15
,100064,11,"MS",28:06.16,,,,,,,,"out","Melbourne, AUS",1987-02-05
,100061,11,"MS",28:08.19,,,,,,,,"out","Inglewood",2003-02-15
,100068,11,"MS",28:15.30,,,,"h",,,,"out","Auckland",1968-04-17
,100069,11,"MS",28:17.80,,,,"h",,,,"out","Auckland",1968-04-17
,100070,11,"MS",28:19.05,,,,,,,,"out","Wellington",1987-03-07
,100055,11,"MS",28:21.33,,,,,,,,"out","Melbourne, AUS",1993-12-16
,521754,11,"MS",28:22.39,,,,,,,,"out","Melbourne, AUS",1985-12-19
,100059,11,"MS",28:25.04,,,,,,,,"out","Melbourne, AUS",1991-12-10
,100049,11,"MS",28:26.80,,,,,,,,"out","Palo Alto, USA",2001-05-04
,100062,11,"MS",28:28.50,,,,"h",,,,"out","Dunedin",1978-03-21
,100058,11,"MS",28:29.41,,,,,,,,"out","Auckland",1986-01-11
,514310,11,"MS",28:31.71,,,,,,,,"out","Inglewood",2003-02-15
,100053,11,"MS",28:33.00,,,,"h",,,,"out","Auckland",1964-11-17
