,100032,9,"MS",07:37.49,,,,,,,,"out","London, GBR",1982-07-17
,100040,9,"MS",07:41.00,,,,,,,,"out","Milan, ITA",1974-07-02
,100048,9,"MS",07:45.11,,,,,,,,"out","London, GBR",1977-06-25
,100059,9,"MS",07:45.93,,,,,,,,"out","Auckland",1990-01-20
,504662,9,"MS",07:49.46,,,,,,,,"out","Christchurch",1995-01-14
,100049,9,"MS",07:50.03,,,,,,,,"out","Belfast, GBR",1990-07-16
,100060,9,"MS",07:50.92,,,,,,,,"out","London, GBR",1977-09-09
,100055,9,"MS",07:50.98,,,,,,,,"out","Wellington",1992-01-18
,100054,9,"MS",07:51.00,,,,,,,,"out","Prague, CZE",1965-07-11
,503271,9,"MS",07:51.93,,,,,,,,"out","Sydney, AUS",2001-02-16
,504019,9,"MS",07:52.26,,,,,,,,"out","Palo Alto, USA",2003-06-06
,100061,9,"MS",07:53.29,,,,,,,,"out","Sydney, AUS",2001-02-16
,100044,9,"MS",07:53.37,,,,,,,,"out","North Shore",1995-01-28
,525967,9,"MS",07:53.97,,,,,,,,"out","Sydney, AUS",2007-02-17
,503791,9,"MS",07:54.09,,,,,,,,"out","Durham, USA",1996-07-13
,505010,9,"MS",07:54.88,,,,,,,,"out","Wellington",2001-02-17
,100051,9,"MS",07:54.90,,,,,,,,"out","North Shore",1996-01-27
,100047,9,"MS",07:54.91,,,,,,,,"out",,
,504019,9,"MS",07:50.65,,,,,,,,"in","Roxbury Crossing, USA",2003-02-01
,516257,9,"MS",07:55.18,,,,,,,,"in","Boston, USA",2007-02-10
